35,36,41,33,36,46,37,53,47,43,52,47,47,63,60,54,64,66,72,67,70,74,75,77,80,79,78,80,77,78,73,76,76,80,76,80,73,72,65,65,69,64,58,57,52,48,41,50,51,43,45,47
61,60,66,64,59,57,65,63,61,64,67,64,62,60,68,65,64,75,65,78,66,71,69,68,69,71,72,75,73,77,78,74,76,75,77,76,80,79,73,78,75,71,72,67,70,65,65,67,63,62,57,58
50,50,53,48,51,45,51,67,59,47,60,64,63,68,69,63,76,71,76,71,78,77,83,82,84,82,83,84,82,86,82,85,86,86,84,84,81,81,78,77,78,71,70,66,64,51,57,60,60,62,58,54
20,20,27,16,21,15,16,37,22,28,40,40,36,49,55,49,57,54,67,55,66,74,70,67,78,76,71,73,68,72,69,73,69,77,78,73,64,61,65,60,53,57,54,47,45,34,29,37,34,36,31,39
52,53,49,47,51,58,51,62,58,53,63,62,60,68,67,64,71,72,76,71,76,77,77,80,80,82,82,81,81,83,83,83,82,85,79,80,81,78,74,73,73,70,65,64,60,59,54,57,65,50,55,63
17,17,25,15,15,12,15,32,16,25,35,37,36,44,54,48,54,53,66,56,67,73,70,69,76,76,72,76,70,75,73,75,70,79,79,76,61,63,66,59,55,55,56,48,48,35,30,33,33,38,35,40
24,31,39,22,30,29,27,40,28,32,41,40,38,49,57,50,55,57,63,64,65,66,72,69,75,76,76,79,75,77,73,77,73,73,77,79,69,65,66,64,61,64,56,53,52,46,38,46,43,37,39,48
27,31,37,22,29,31,28,40,29,33,43,42,39,50,58,52,56,59,64,65,67,67,73,73,77,77,79,82,78,78,74,77,73,75,76,80,70,67,66,65,60,64,57,54,51,46,38,46,44,38,39,47
58,56,60,64,61,58,67,68,67,68,70,70,71,67,79,77,77,80,77,84,82,92,92,94,93,94,95,96,95,99,96,94,93,86,94,95,89,89,88,81,80,80,81,77,71,69,61,63,64,64,56,53
42,47,44,44,44,32,47,43,46,53,49,45,49,50,54,51,50,59,54,64,60,60,62,61,61,65,69,72,69,65,73,70,71,67,68,67,66,67,63,60,61,60,55,53,53,40,45,46,43,51,49,43
