51,42,45,44,47,51,39,46,49,55,50,66,68,65,62,57,63,61,75,65,70,74,74,70,74,80,80,85,80,82,84,81,78,76,74,80,78,70,69,67,68,57,59,63,50,49,48,47,48,57,50,46,44
64,63,59,54,61,59,61,55,60,57,60,56,58,58,64,58,66,65,63,66,67,65,68,68,68,68,70,62,73,73,69,71,79,80,75,78,77,79,77,73,74,68,77,71,67,64,64,63,62,61,57,56,54
61,60,53,66,58,64,51,59,62,68,63,74,70,73,74,76,69,75,80,76,75,83,83,84,83,83,86,83,79,84,85,87,87,87,83,87,84,79,77,79,72,75,72,69,68,69,55,62,64,69,56,59,49
41,35,30,30,36,45,30,35,38,43,46,66,68,57,57,52,56,52,71,63,68,73,67,70,76,80,81,88,83,83,84,81,76,71,74,75,73,67,57,62,55,51,54,57,41,46,39,43,43,48,40,35,29
60,49,56,56,62,61,54,60,59,69,64,69,70,69,71,67,72,68,76,73,73,77,79,78,79,77,80,84,83,82,84,82,82,82,77,82,82,78,78,76,79,71,70,71,60,57,61,55,58,63,62,54,53
37,33,29,24,33,39,27,35,33,37,46,66,67,49,52,52,50,49,64,59,68,71,66,71,75,80,78,88,80,82,82,82,74,70,75,78,73,68,59,61,55,52,54,56,43,47,40,44,42,45,39,34,30
47,37,36,32,43,44,37,41,42,43,46,55,62,47,52,56,63,51,57,63,66,68,72,66,69,77,77,82,80,77,78,79,79,74,76,77,75,68,66,64,64,53,59,59,49,43,46,45,41,47,45,42,34
45,36,37,33,44,43,36,41,44,45,46,57,62,49,53,56,63,52,61,64,68,73,74,69,72,79,79,86,80,80,82,81,80,77,77,79,77,68,68,66,66,55,60,62,48,44,47,45,41,48,45,44,37
64,62,56,57,59,59,64,57,63,60,64,67,65,72,71,70,81,80,82,83,89,85,88,89,93,96,99,93,94,95,95,96,102,93,90,96,89,86,91,87,86,79,80,74,74,69,65,69,67,64,56,55,52
48,44,37,35,41,46,48,41,42,41,42,41,43,47,48,52,51,54,50,56,58,56,58,54,60,59,61,64,66,65,64,69,68,72,64,63,67,63,62,61,59,55,52,49,56,45,47,45,47,44,41,40,40
