42,52,48,35,46,46,43,43,40,44,54,44,47,54,66,64,58,61,65,67,69,74,75,76,76,79,78,78,80,78,78,79,73,75,78,77,76,71,66,71,66,63,51,60,51,48,51,37,56,40,51,41
54,53,58,63,61,54,59,55,64,58,64,63,63,64,63,65,64,68,67,69,68,71,68,69,70,75,74,74,73,72,69,70,73,72,79,80,72,71,72,72,65,70,65,65,67,67,60,63,55,57,61,63
48,59,47,64,60,64,54,60,53,61,61,68,61,63,67,67,69,67,72,77,81,83,81,85,85,89,83,85,81,86,87,88,85,84,84,86,83,81,80,79,73,69,67,68,64,62,60,47,56,45,57,49
23,40,30,19,31,34,33,30,33,37,36,33,40,46,58,53,52,64,60,68,63,72,67,72,76,75,71,76,81,70,71,76,69,76,81,74,73,67,66,68,60,53,42,50,46,42,36,31,35,22,36,29
56,66,62,57,57,58,57,60,55,53,58,62,55,64,71,68,67,70,71,71,74,76,79,82,81,81,80,80,80,81,82,84,83,80,81,81,81,78,75,75,73,74,64,67,65,62,66,55,66,60,58,57
26,37,27,17,27,30,29,27,31,36,34,28,41,42,47,46,52,62,57,68,61,68,62,71,73,75,72,76,84,70,70,75,70,76,79,72,73,65,64,68,61,51,42,49,46,41,33,30,31,17,30,25
33,44,39,21,36,29,38,34,40,39,41,37,46,45,56,55,55,58,62,60,64,74,67,68,74,80,81,79,87,75,74,75,72,76,78,73,71,65,63,71,63,61,52,56,49,47,44,37,44,31,42,39
35,43,41,23,37,32,39,35,40,41,43,39,44,46,61,57,55,58,65,62,68,75,70,73,74,80,82,81,87,76,74,76,73,75,78,72,72,64,63,73,63,61,51,55,49,47,44,38,44,32,42,39
51,49,52,64,56,60,57,55,60,62,72,72,75,76,71,72,80,83,80,87,86,89,94,96,93,97,99,97,93,94,98,92,99,95,92,94,87,92,82,80,74,72,77,69,69,72,63,61,54,55,59,58
39,38,34,39,44,45,47,43,47,45,49,44,54,52,48,50,55,57,64,58,54,59,65,62,64,70,69,67,69,70,66,71,70,70,70,68,68,63,56,55,53,51,50,52,49,50,44,47,32,40,43,42
