50,35,31,38,41,42,39,55,54,53,50,57,57,48,62,62,67,70,63,73,65,76,79,80,75,79,80,80,80,84,85,83,80,77,79,79,72,69,71,67,62,64,58,56,50,50,53,57,47,48,49,51
50,56,62,65,60,56,61,54,52,59,63,60,55,66,60,66,63,68,70,63,62,64,65,65,66,70,72,76,70,71,72,72,70,71,76,69,76,69,69,71,65,73,66,64,60,61,59,59,60,54,53,55
50,54,45,49,56,42,42,66,70,62,63,68,75,68,72,71,82,77,72,78,79,85,86,84,89,85,88,87,88,86,88,91,91,91,90,88,80,85,81,80,75,75,69,67,63,65,69,62,57,47,61,53
31,23,23,21,28,26,24,45,37,41,42,49,47,43,58,55,56,59,54,69,61,68,77,77,72,72,76,78,81,87,84,82,75,77,76,80,63,65,64,58,65,62,48,51,50,52,50,49,40,32,39,41
62,47,43,50,51,57,48,60,68,64,57,65,69,64,69,69,74,75,68,77,71,80,78,78,83,84,80,82,82,83,84,85,85,82,84,80,78,77,79,76,70,74,62,65,61,60,66,66,56,58,58,64
24,22,22,18,25,20,21,39,31,34,36,45,36,40,52,49,44,53,51,64,59,58,74,69,69,71,77,78,78,84,80,79,72,74,72,76,66,61,60,55,66,61,48,50,50,48,44,44,39,29,38,36
46,31,28,27,30,32,31,43,36,42,44,49,38,43,50,55,54,64,60,62,61,72,72,75,71,73,75,79,80,87,79,80,76,75,73,74,71,67,69,67,60,64,58,49,48,54,53,51,50,46,41,43
44,30,27,29,29,32,31,45,38,44,45,50,41,43,52,56,58,67,62,64,66,76,76,78,73,77,78,81,80,87,83,79,77,77,74,73,73,68,70,68,61,65,59,50,49,51,53,51,49,46,41,44
42,51,58,60,58,48,58,61,55,64,69,72,62,77,67,73,78,76,81,78,75,83,83,86,91,96,99,95,92,97,96,97,96,98,102,99,94,88,92,89,75,81,82,75,68,62,64,63,56,52,55,52
32,39,45,43,45,43,42,40,33,41,46,45,46,46,45,45,47,48,51,51,54,54,58,59,58,61,63,65,63,65,65,66,63,68,69,64,70,60,66,58,55,52,54,48,44,47,39,45,39,36,39,41
